('#中核科技 sz000777[股票]# 个股近期震荡弱势盘整，看点不多，个股持续受压于60日线，没有消息刺激大概率还会震荡', '2018-04-09 20:45:33')
('发布了头条文章：《(000776)广发证券(000777)中核科技(000778)新兴铸管》 |(000776)广...', '2018-04-07 21:13:54')
('发布了头条文章：《000777 中核科技：主力蓄势待发，后市展望精准预测！》 #财经头条文章# #股票分析# $中核科技 sz000777$ |000777 中...', '2018-04-07 04:44:27')
('发布了头条文章：《000153丰原药业 蓝筹超跌反弹空间有限》#股票分析# #微博股票热议榜# #恩华药业 sz002262[股票]# #中核科技 sz000777[股票]# @头条文章 |000153丰原...', '2018-04-07 03:58:11')
('发布了头条文章：《A股爆炸利好解析：中核科技+海螺水泥+如意集团》 |A股爆炸利...', '2018-04-04 04:35:40')
('|武小松的图...【核电】核电板块异动，龙1江苏神通（涨停），龙2中核科技，龙3兰石重装，清洁能源概念，昨日午后页岩气、太阳能有不错表现。', '2018-04-03 23:07:57')
('$中核科技 sz000777$', '2018-03-29 11:23:00')
('发布了头条文章：《A股主力蓄势待发：中核科技+文一科技+合纵科技+智能自控》 |A股主力蓄...', '2018-03-27 21:20:59')
('日k线经过多日调整，也一步步来到低位区，但并未修复完成。至于概念股，有中国核建、中核科技、西部材料、宝钛股份等', '2018-03-21 23:15:18')
('发布了头条文章：《中核科技000777不要掉以轻心 ，后市惊人已成定局》#中核科技 sz000777[股票]# #头条文章# |中核科技00...', '2018-03-13 02:50:46')
('发表了博文《【第一投教】#收评#中船科技，刺激了中核科技？》市场亮点不多，但一旦有亮点就是璀璨的明星。中船科技就是其中的一颗。下午的时候，中船科技突然发力直接封住涨停。早在去年的时候，中船科技就一定定|【第一投教...', '2018-02-28 02:21:17')
('国资委：中国核工业集团与中国核工业建设集团实施重组。中核集团与中核工建实施重组，将是能源行业继中电投与国家核电、国电与神华合并后，第三例落地的央企重组，98家央企由此将缩减至97家，军工央企减少1家。中核集团旗下A股公司：东方锆业 中国核电 中核科技中核工建旗下A股公司：中国核建', '2018-02-02 17:44:05')
('发布了头条文章：《中广核技000881：中核科技有利好了，明天中广核技不知道怎么走》 $中广核技 sz000881$ #股票分析# #财经头条文章# #上证指数# |中广核技00...', '2018-02-01 05:44:45')
('“中国神核”正式诞生！中国核工业集团与中国核工业建设集团重组。旗下公式有：东方锆业、中国核电、中核科技。中国核建。《小刺客炒股助手》', '2018-01-31 22:42:28')
('$中国核建 sh601611$ $中核科技 sz000777$ 现在唯有核电股能够带领大盘反弹，已经火速建仓！', '2018-01-31 22:06:56')
('利好事件：$中兴通讯 sz000063$ （拟定增募资不超130亿元 加码5G网络演进技术研究等）、$宁波建工 sh601789$ （2017年累计合同额211亿 同比增长两成）、$华闻传媒 sz000793$ （正筹划购买资产相关重大事项 2月1日起停牌）、中核科技（控股股东中核集团与中核建集团重组获批）、青青稞酒（控股股东及两 ...展开全文c', '2018-01-31 20:54:39')
('中核概念 中核、中核建战略重组获批#中核科技 sz000777[股票]##中国核电 sh601985[股票]#', '2018-01-31 20:29:34')
('【竞价看龙头】次新股上海雅仕：-0.21%次新零售国芳集团：+2.19%超跌人气永吉股份：+4.43%地产板块中交地产：+9.99%地产板块万通地产：-0.98%年报预增拉夏贝尔：+6.92% ...展开全文c', '2018-01-31 20:28:49')
('★ 房企1月销售实现开门红TOP10，销售金额大增逾5成地产股：保利地产（600048）、招商蛇口（001979）、万科A（000002）、金地集团（600383）★ 核电双巨头重组获批中国神核概念股：中国核电（601985）、中国核建（601611）、中核科技（000777）、东方锆业（002167）★ 腾讯信用上线公测，大数据征信引爆千亿蓝海征信概念股：蓝色光标（300058）、拓尔思（300229）、银之杰（300085）、飞利信（300287）收起全文d', '2018-01-31 20:27:17')
('★ 核电双巨头重组获批中国神核概念股：中国核电（601985）、中国核建（601611）、中核科技（000777）、东方锆业（002167）★ 腾讯信用上线公测，大数据征信引爆千亿蓝海征信概念股：蓝色光标（300058）、拓尔思（300229）、银之杰（300085）、飞利信（300287）', '2018-01-31 20:26:37')
('【信息要闻】核电双巨头重组获批，相关公司有望获市场关注（来自中原资管）中国神核概念股：中国核电（601985）、中国核建（601611）、中核科技（000777）、东方锆业（002167）', '2018-01-31 20:20:12')
('《机会早知道：两核合并 国企改革概念股再受关注》#中核科技# $中核科技 sz000777$ $中广核技 sz000881$ |机会早知道...', '2018-01-31 20:11:52')
('2.01利好：中核科技：控股股东中核集团与中核建集团重组获批中兴通讯：拟定增募资不超130亿元 加码5G网络演进技术研究等星云股份：年报拟10转10派1元北京科锐：实控人拟增持2000万元至1亿元友邦吊顶：实控人拟增持约2000万元公司股份 ...展开全文c', '2018-01-31 20:08:05')
('核电产业迎“新三角”格局 关注5只概念股关注：中核科技、中国核建、中国核电、中广核技、东方锆业等。', '2018-01-31 20:07:25')
('核电双巨头重组获批，中国核工业集团有限公司与中国核工业建设集团有限公司实施重组，中国核工业建设集团有限公司整体无偿划转进入中国核工业集团有限公司，在重组落地及核电建设提速预期的双重刺激下中国神核概念股：中国核电（601985）、中国核建（601611）、中核科技（000777）、东方锆业（002167 ...展开全文c', '2018-01-31 20:04:56')
('晚间重要题材资讯核电双巨头重组获批，相关公司有望获市场关注中国神核概念股：中国核电（601985）、中国核建（601611）、中核科技（000777）、东方锆业（002167）', '2018-01-31 09:12:55')
('2018.01.31【晚间资讯】【中国中车：与云南省政府战略合作】【友邦吊顶：实控人拟增持2000万元】【联创互联：2017年净利预增71%-91%】 ...展开全文c', '2018-01-31 08:57:20')
('“华龙一号”首堆压力容器成功吊装 关注4只核电股关注：中核科技、中广核技、中国核电、中国核建等。', '2018-01-28 20:04:10')
